Kpps,Type
16.5,MonAggr
16.5,MonAggr
16.5,MonAggr
16.5,MonAggr
33,MonAggr
33,MonAggr
9.9,MonAggr
16.5,MonAggr
6.6,MonAggr
16.5,MonAggr
6.6,MonAggr
16.5,MonAggr
9.9,MonAggr
16.5,MonAggr
9.9,MonAggr
16.5,MonAggr
6.6,MonAggr
16.5,MonAggr
9.9,MonAggr
16.5,MonAggr
6.6,MonAggr
16.5,MonAggr
6.6,MonAggr
16.5,MonAggr
9.9,MonAggr
16.5,MonAggr
6.6,MonAggr
16.5,MonAggr
9.9,MonAggr
16.5,MonAggr
8.25,MonAggr
8.25,MonAggr
8.25,MonAggr
8.25,MonAggr
16.5,MonAggr
16.5,MonAggr
8.25,MonAggr
8.25,MonAggr
8.25,MonAggr
8.25,MonAggr
16.5,MonAggr
16.5,MonAggr
6.6,MonAggr
8.25,MonAggr
6.6,MonAggr
8.25,MonAggr
16.5,MonAggr
9.9,MonAggr
16.5,MonAggr
6.6,MonAggr
6.6,MonAggr
8.25,MonAggr
6.6,MonAggr
8.25,MonAggr
16.5,MonAggr
6.6,MonAggr
16.5,MonAggr
9.9,MonAggr
8.25,MonAggr
8.25,MonAggr
6.6,MonAggr
8.25,MonAggr
16.5,MonAggr
9.9,MonAggr
16.5,MonAggr
9.9,MonAggr
6.6,MonAggr
8.25,MonAggr
4.95,MonAggr
8.25,MonAggr
16.5,MonAggr
6.6,MonAggr
16.5,MonAggr
6.6,MonAggr
4.95,MonAggr
8.25,MonAggr
6.6,MonAggr
8.25,MonAggr
16.5,MonAggr
6.6,MonAggr
16.5,MonAggr
6.6,MonAggr
6.6,MonAggr
8.25,MonAggr
8.25,MonAggr
8.25,MonAggr
16.5,MonAggr
9.9,MonAggr
16.5,MonAggr
9.9,MonAggr
8.25,MonAggr
8.25,MonAggr
8.25,MonAggr
6.6,MonAggr
8.25,MonAggr
8.25,MonAggr
8.25,MonAggr
4.95,MonAggr
8.25,MonAggr
8.25,MonAggr
8.25,MonAggr
6.6,MonAggr
8.25,MonAggr
6.6,MonAggr
8.25,MonAggr
6.6,MonAggr
8.25,MonAggr
8.25,MonAggr
8.25,MonAggr
6.6,MonAggr
8.25,MonAggr
6.6,MonAggr
8.25,MonAggr
6.6,MonAggr
8.25,MonAggr
8.25,MonAggr
8.25,MonAggr
6.6,MonAggr
8.25,MonAggr
4.95,MonAggr
8.25,MonAggr
8.25,MonAggr
49.5,SNMP
49.5,SNMP
49.5,SNMP
49.5,SNMP
99,SNMP
198,SNMP
8.25,SNMP
8.25,SNMP
8.25,SNMP
8.25,SNMP
8.25,SNMP
8.25,SNMP
8.25,SNMP
8.25,SNMP
8.25,SNMP
8.25,SNMP
8.25,SNMP
8.25,SNMP
8.25,SNMP
8.25,SNMP
8.25,SNMP
8.25,SNMP
8.25,SNMP
8.25,SNMP
8.25,SNMP
8.25,SNMP
8.25,SNMP
8.25,SNMP
8.25,SNMP
8.25,SNMP
23.1,SNMP
24.75,SNMP
26.4,SNMP
24.75,SNMP
49.5,SNMP
49.5,SNMP
23.1,SNMP
24.75,SNMP
26.4,SNMP
24.75,SNMP
49.5,SNMP
49.5,SNMP
8.25,SNMP
7.7,SNMP
8.25,SNMP
8.8,SNMP
8.25,SNMP
8.25,SNMP
8.25,SNMP
8.25,SNMP
8.25,SNMP
7.7,SNMP
8.25,SNMP
8.8,SNMP
8.25,SNMP
8.25,SNMP
8.25,SNMP
8.25,SNMP
8.25,SNMP
7.7,SNMP
8.25,SNMP
8.8,SNMP
8.25,SNMP
8.25,SNMP
8.25,SNMP
8.25,SNMP
8.25,SNMP
7.7,SNMP
8.25,SNMP
8.8,SNMP
8.25,SNMP
8.25,SNMP
8.25,SNMP
8.25,SNMP
8.25,SNMP
7.7,SNMP
8.25,SNMP
8.8,SNMP
8.25,SNMP
8.25,SNMP
8.25,SNMP
8.25,SNMP
8.25,SNMP
7.7,SNMP
8.25,SNMP
8.8,SNMP
8.25,SNMP
8.25,SNMP
8.25,SNMP
8.25,SNMP
24.75,SNMP
23.1,SNMP
7.7,SNMP
8.25,SNMP
7.7,SNMP
8.25,SNMP
7.7,SNMP
8.25,SNMP
24.75,SNMP
26.4,SNMP
8.8,SNMP
8.25,SNMP
8.8,SNMP
8.25,SNMP
8.8,SNMP
8.25,SNMP
24.75,SNMP
23.1,SNMP
7.7,SNMP
8.25,SNMP
7.7,SNMP
8.25,SNMP
7.7,SNMP
8.25,SNMP
24.75,SNMP
26.4,SNMP
8.8,SNMP
8.25,SNMP
8.8,SNMP
8.25,SNMP
8.8,SNMP
8.25,SNMP
