Ratio,Type
0.5,MonAggr
0.5,MonAggr
1,MonAggr
0.3,MonAggr
0.2,MonAggr
0.2,MonAggr
0.3,MonAggr
0.3,MonAggr
0.2,MonAggr
0.3,MonAggr
0.2,MonAggr
0.2,MonAggr
0.3,MonAggr
0.2,MonAggr
0.3,MonAggr
0.25,MonAggr
0.25,MonAggr
0.5,MonAggr
0.25,MonAggr
0.25,MonAggr
0.5,MonAggr
0.2,MonAggr
0.2,MonAggr
0.3,MonAggr
0.2,MonAggr
0.2,MonAggr
0.2,MonAggr
0.25,MonAggr
0.2,MonAggr
0.3,MonAggr
0.2,MonAggr
0.15,MonAggr
0.25,MonAggr
0.2,MonAggr
0.15,MonAggr
0.2,MonAggr
0.25,MonAggr
0.2,MonAggr
0.2,MonAggr
0.25,MonAggr
0.25,MonAggr
0.3,MonAggr
0.25,MonAggr
0.25,MonAggr
0.2,MonAggr
0.25,MonAggr
0.15,MonAggr
0.25,MonAggr
0.2,MonAggr
0.2,MonAggr
0.2,MonAggr
0.25,MonAggr
0.2,MonAggr
0.2,MonAggr
0.2,MonAggr
0.25,MonAggr
0.2,MonAggr
0.15,MonAggr
0.25,MonAggr
1.5,SNMP
1.5,SNMP
3,SNMP
0.25,SNMP
0.25,SNMP
0.25,SNMP
0.25,SNMP
0.25,SNMP
0.25,SNMP
0.25,SNMP
0.25,SNMP
0.25,SNMP
0.25,SNMP
0.25,SNMP
0.25,SNMP
0.7,SNMP
0.8,SNMP
1.5,SNMP
0.7,SNMP
0.8,SNMP
1.5,SNMP
0.25,SNMP
0.25,SNMP
0.25,SNMP
0.25,SNMP
0.25,SNMP
0.25,SNMP
0.25,SNMP
0.25,SNMP
0.25,SNMP
0.25,SNMP
0.25,SNMP
0.25,SNMP
0.25,SNMP
0.25,SNMP
0.25,SNMP
0.25,SNMP
0.25,SNMP
0.25,SNMP
0.25,SNMP
0.25,SNMP
0.25,SNMP
0.25,SNMP
0.25,SNMP
0.25,SNMP
0.75,SNMP
0.233333333,SNMP
0.233333333,SNMP
0.233333333,SNMP
0.75,SNMP
0.266666667,SNMP
0.266666667,SNMP
0.266666667,SNMP
0.75,SNMP
0.233333333,SNMP
0.233333333,SNMP
0.233333333,SNMP
0.75,SNMP
0.266666667,SNMP
0.266666667,SNMP
0.266666667,SNMP
