s1-eth1_in: pkt count = 28, throughtput = 700
s1-eth1_out: pkt count = 28, throughtput = 728
s1-eth2_in: pkt count = 32, throughtput = 800
s1-eth2_out: pkt count = 32, throughtput = 832
s1-eth3_in: pkt count = 60, throughtput = 1440
s1-eth3_out: pkt count = 60, throughtput = 1440
s3-eth1_in: pkt count = 12, throughtput = 384
s3-eth1_out: pkt count = 28, throughtput = 784
s3-eth2_in: pkt count = 8, throughtput = 256
s3-eth2_out: pkt count = 32, throughtput = 896
s4-eth1_in: pkt count = 12, throughtput = 384
s4-eth1_out: pkt count = 28, throughtput = 784
s4-eth2_in: pkt count = 8, throughtput = 256
s4-eth2_out: pkt count = 32, throughtput = 896
s5-eth1_in: pkt count = 4, throughtput = 128
s5-eth1_out: pkt count = 28, throughtput = 784
s5-eth2_in: pkt count = 16, throughtput = 512
s5-eth2_out: pkt count = 32, throughtput = 896
s6-eth1_in: pkt count = 4, throughtput = 128
s6-eth1_out: pkt count = 28, throughtput = 784
s6-eth2_in: pkt count = 16, throughtput = 512
s6-eth2_out: pkt count = 32, throughtput = 896
s7-eth1_in: pkt count = 12, throughtput = 384
s7-eth1_out: pkt count = 28, throughtput = 784
s7-eth2_in: pkt count = 8, throughtput = 256
s7-eth2_out: pkt count = 32, throughtput = 896
s8-eth1_in: pkt count = 12, throughtput = 384
s8-eth1_out: pkt count = 28, throughtput = 784
s8-eth2_in: pkt count = 8, throughtput = 256
s8-eth2_out: pkt count = 32, throughtput = 896
s9-eth1_in: pkt count = 12, throughtput = 312
s9-eth1_out: pkt count = 12, throughtput = 336
s9-eth2_in: pkt count = 16, throughtput = 416
s9-eth2_out: pkt count = 16, throughtput = 448
s9-eth3_in: pkt count = 28, throughtput = 728
s9-eth3_out: pkt count = 28, throughtput = 700
s10-eth1_in: pkt count = 16, throughtput = 416
s10-eth1_out: pkt count = 16, throughtput = 448
s10-eth2_in: pkt count = 16, throughtput = 416
s10-eth2_out: pkt count = 16, throughtput = 448
s10-eth3_in: pkt count = 32, throughtput = 832
s10-eth3_out: pkt count = 32, throughtput = 800
s11-eth1_in: pkt count = 8, throughtput = 240
s11-eth1_out: pkt count = 12, throughtput = 324
s11-eth2_in: pkt count = 12, throughtput = 360
s11-eth2_out: pkt count = 16, throughtput = 432
s11-eth3_in: pkt count = 28, throughtput = 784
s11-eth3_out: pkt count = 12, throughtput = 384
s11-eth4_in: pkt count = 28, throughtput = 784
s11-eth4_out: pkt count = 12, throughtput = 384
s12-eth1_in: pkt count = 8, throughtput = 240
s12-eth1_out: pkt count = 16, throughtput = 432
s12-eth2_in: pkt count = 8, throughtput = 240
s12-eth2_out: pkt count = 16, throughtput = 432
s12-eth3_in: pkt count = 32, throughtput = 896
s12-eth3_out: pkt count = 8, throughtput = 256
s12-eth4_in: pkt count = 32, throughtput = 896
s12-eth4_out: pkt count = 8, throughtput = 256
s13-eth1_in: pkt count = 4, throughtput = 120
s13-eth1_out: pkt count = 12, throughtput = 324
s13-eth2_in: pkt count = 4, throughtput = 120
s13-eth2_out: pkt count = 16, throughtput = 432
s13-eth3_in: pkt count = 28, throughtput = 784
s13-eth3_out: pkt count = 4, throughtput = 128
s13-eth4_in: pkt count = 28, throughtput = 784
s13-eth4_out: pkt count = 4, throughtput = 128
s14-eth1_in: pkt count = 16, throughtput = 480
s14-eth1_out: pkt count = 16, throughtput = 432
s14-eth2_in: pkt count = 12, throughtput = 360
s14-eth2_out: pkt count = 16, throughtput = 432
s14-eth3_in: pkt count = 32, throughtput = 896
s14-eth3_out: pkt count = 16, throughtput = 512
s14-eth4_in: pkt count = 32, throughtput = 896
s14-eth4_out: pkt count = 16, throughtput = 512
s15-eth1_in: pkt count = 12, throughtput = 360
s15-eth1_out: pkt count = 12, throughtput = 324
s15-eth2_in: pkt count = 12, throughtput = 360
s15-eth2_out: pkt count = 16, throughtput = 432
s15-eth3_in: pkt count = 28, throughtput = 784
s15-eth3_out: pkt count = 12, throughtput = 384
s15-eth4_in: pkt count = 28, throughtput = 784
s15-eth4_out: pkt count = 12, throughtput = 384
s16-eth1_in: pkt count = 4, throughtput = 120
s16-eth1_out: pkt count = 16, throughtput = 432
s16-eth2_in: pkt count = 8, throughtput = 240
s16-eth2_out: pkt count = 16, throughtput = 432
s16-eth3_in: pkt count = 32, throughtput = 896
s16-eth3_out: pkt count = 8, throughtput = 256
s16-eth4_in: pkt count = 32, throughtput = 896
s16-eth4_out: pkt count = 8, throughtput = 256
s17-eth1_in: pkt count = 12, throughtput = 336
s17-eth1_out: pkt count = 12, throughtput = 312
s17-eth2_in: pkt count = 12, throughtput = 324
s17-eth2_out: pkt count = 8, throughtput = 240
s17-eth3_in: pkt count = 12, throughtput = 324
s17-eth3_out: pkt count = 4, throughtput = 120
s17-eth4_in: pkt count = 12, throughtput = 324
s17-eth4_out: pkt count = 12, throughtput = 360
s18-eth1_in: pkt count = 16, throughtput = 448
s18-eth1_out: pkt count = 16, throughtput = 416
s18-eth2_in: pkt count = 16, throughtput = 432
s18-eth2_out: pkt count = 12, throughtput = 360
s18-eth3_in: pkt count = 16, throughtput = 432
s18-eth3_out: pkt count = 4, throughtput = 120
s18-eth4_in: pkt count = 16, throughtput = 432
s18-eth4_out: pkt count = 12, throughtput = 360
s19-eth1_in: pkt count = 16, throughtput = 448
s19-eth1_out: pkt count = 16, throughtput = 416
s19-eth2_in: pkt count = 16, throughtput = 432
s19-eth2_out: pkt count = 8, throughtput = 240
s19-eth3_in: pkt count = 16, throughtput = 432
s19-eth3_out: pkt count = 16, throughtput = 480
s19-eth4_in: pkt count = 16, throughtput = 432
s19-eth4_out: pkt count = 4, throughtput = 120
s20-eth1_in: pkt count = 16, throughtput = 448
s20-eth1_out: pkt count = 16, throughtput = 416
s20-eth2_in: pkt count = 16, throughtput = 432
s20-eth2_out: pkt count = 8, throughtput = 240
s20-eth3_in: pkt count = 16, throughtput = 432
s20-eth3_out: pkt count = 12, throughtput = 360
s20-eth4_in: pkt count = 16, throughtput = 432
s20-eth4_out: pkt count = 8, throughtput = 240
